Sale Id,Sales Date,Customer Id,Employee Id,Store Id,Product Id,No. Of Units,Sale Amount,Sales Reason ID,Product Cost
100001,288,370,42,8,167,106,3122,1,3033
100002,1328,317,88,35,394,298,4901,7,4518
100003,552,183,61,62,85,375,1469,10,1418
100004,140,287,62,11,327,301,1459,4,1302
100005,231,399,35,18,493,451,1405,6,1377
100006,704,209,8,28,266,171,1623,9,1550
100007,972,114,86,45,16,474,1279,10,956
100008,232,155,68,64,94,500,3743,6,3383
100009,1175,229,16,20,167,335,2940,3,2918
100010,657,323,95,57,392,206,1611,3,1277
100011,469,110,57,20,331,303,3584,8,3280
100012,589,192,52,47,7,164,3263,3,3189
100013,12,366,10,76,246,492,1562,2,1554
100014,417,122,14,69,227,366,3309,4,3153
100015,312,388,91,11,484,306,1721,7,1581
100016,714,248,85,20,225,333,3100,1,2776
100017,199,142,88,27,122,281,4850,1,4495
100018,103,150,48,62,464,304,4977,2,4621
100019,813,77,9,15,167,293,3112,7,2954
100020,839,72,54,15,224,194,4517,3,4414
100021,959,333,5,64,214,490,2013,7,1615
100022,24,49,77,60,79,115,3737,7,3478
100023,544,288,67,50,314,235,4671,7,4486
100024,631,209,47,60,347,281,3367,7,3182
100025,631,165,86,9,172,285,2347,4,2130
100026,968,67,71,66,401,418,3025,5,2976
100027,300,119,86,46,118,179,3603,5,3208
100028,1137,92,87,9,388,206,1056,9,774
100029,1170,125,15,89,141,129,2168,4,2163
100030,1351,28,95,16,460,133,2239,5,1981
100031,758,8,94,69,271,500,2611,7,2602
100032,902,184,80,83,152,235,4266,4,3904
100033,712,115,46,52,286,436,1955,2,1695
100034,86,23,35,1,109,128,1567,8,1549
100035,337,286,25,26,219,445,4282,8,4007
100036,1165,218,68,23,90,322,2945,5,2849
100037,764,36,48,4,39,279,1157,7,925
100038,610,313,30,80,226,372,3764,2,3474
100039,646,114,88,38,33,295,4138,2,3994
100040,392,66,55,70,491,170,3666,2,3420
100041,155,32,61,18,169,467,4980,10,4946
100042,1188,233,91,10,423,481,3965,7,3904
100043,85,201,26,80,275,352,2481,4,2224
100044,479,248,3,67,477,405,3896,3,3870
100045,68,167,6,2,378,276,3768,5,3660
100046,17,50,2,21,258,412,3285,3,2903
100047,1073,298,20,18,454,295,3055,7,2977
100048,721,319,16,16,360,143,2456,2,2137
100049,1401,277,1,33,101,324,1932,3,1595
100050,237,114,31,83,10,395,3559,9,3375
100051,3,296,73,91,128,160,4399,1,4112
100052,562,31,6,14,215,262,1148,4,853
100053,1015,342,11,20,66,249,2422,4,2153
100054,1322,214,52,25,412,156,1359,9,1176
100055,726,386,2,78,289,203,2947,9,2602
100056,1156,100,33,10,421,318,2570,3,2417
100057,1126,366,43,25,182,159,4900,1,4692
100058,455,221,14,60,316,229,2307,5,1985
100059,235,162,26,92,273,167,1073,6,998
100060,1277,273,67,2,280,344,3416,9,3147
100061,694,142,22,13,166,465,3582,8,3314
100062,955,365,18,69,53,141,1237,6,1185
100063,196,297,45,22,244,185,1329,6,1032
100064,1164,166,49,84,482,426,4858,6,4717
100065,998,156,81,73,202,494,2185,8,2077
100066,801,352,7,72,29,151,2202,2,2018
100067,701,282,13,8,165,423,3395,9,3181
100068,935,12,23,64,100,258,1017,6,926
100069,966,336,85,70,268,175,3872,7,3662
100070,1304,95,18,70,9,468,2340,1,2241
100071,144,289,54,55,246,155,3313,5,3197
100072,333,296,57,75,237,330,1431,2,1143
100073,1318,313,82,59,373,279,2509,7,2171
100074,320,109,66,55,209,456,3572,7,3330
100075,373,380,73,13,481,367,1590,7,1442
100076,92,282,37,88,346,360,2901,2,2859
100077,1020,354,93,72,98,431,3188,8,3079
100078,698,102,19,26,402,479,4986,4,4613
100079,882,268,41,68,65,166,1093,1,745
100080,1235,359,41,79,228,481,1507,3,1486
100081,379,66,89,51,484,408,1315,8,1090
100082,724,122,62,54,202,290,2197,1,1918
100083,44,72,6,60,150,272,3354,10,3051
100084,123,113,81,9,5,157,2921,6,2546
100085,846,346,42,16,463,445,2000,8,1830
100086,835,164,73,32,1,292,4230,2,3927
100087,483,282,65,37,213,162,3675,3,3428
100088,491,207,86,52,322,343,3576,8,3333
100089,184,212,2,79,324,292,2420,3,2284
100090,966,250,74,88,183,318,3272,8,3197
100091,970,307,49,18,11,499,4894,7,4548
100092,960,310,14,80,434,245,1736,5,1536
100093,748,226,75,45,225,240,4478,4,4440
100094,135,73,60,33,32,279,3725,9,3384
100095,1332,169,48,12,299,326,4745,9,4478
100096,1450,384,97,6,86,279,4998,7,4687
100097,637,222,13,60,385,164,3510,1,3219
100098,529,148,45,73,395,379,1430,5,1076
100099,1090,290,70,14,271,292,3237,1,2965
100100,659,199,53,28,459,112,3862,9,3726
100101,621,350,85,7,102,321,2982,7,2867
100102,1101,45,77,90,373,326,2742,8,2709
100103,41,7,93,26,139,281,3647,3,3554
100104,915,165,66,10,238,468,1030,1,707
100105,397,167,1,82,14,464,3642,2,3322
100106,1116,139,62,91,314,270,1554,3,1552
100107,1061,210,35,81,336,398,4993,1,4970
100108,1288,214,82,90,406,464,3527,5,3460
100109,1253,141,88,67,382,327,2983,10,2810
100110,193,270,38,1,305,483,1280,10,916
100111,80,185,55,2,83,401,3547,9,3288
100112,872,58,61,59,420,220,2526,9,2479
100113,1142,95,71,26,159,341,2331,4,2203
100114,160,48,68,55,14,443,4638,5,4494
100115,1125,178,50,58,448,338,3819,5,3792
100116,423,251,9,13,301,259,3872,3,3474
100117,1392,289,70,55,106,316,3628,4,3475
100118,881,32,88,60,65,164,1467,6,1298
100119,853,217,47,77,4,406,3622,8,3612
100120,1082,168,91,71,450,239,3579,7,3370
100121,739,342,57,20,374,115,4419,7,4193
100122,1075,285,49,49,234,392,2405,1,2236
100123,989,18,16,88,446,315,1568,3,1402
100124,766,382,61,92,340,177,2480,7,2349
100125,863,394,83,10,158,420,3387,5,3206
100126,2,291,37,85,283,451,2188,9,1980
100127,166,311,35,63,57,252,3896,5,3824
100128,652,80,86,31,325,156,2903,6,2714
100129,806,366,23,32,50,206,3398,6,3028
